geneID,Gene_name,gid
4927,NUP88,230
1104,RCC1,231
3843,IPO5,232
23636,NUP62,233
55746,NUP133,234
6396,SEC13,235
3837,KPNB1,236
3842,TNPO1,237
7175,TPR,238
2033,EP300,239
8480,RAE1,240
7508,XPC,241
5887,RAD23B,242
5886,RAD23A,243
2965,GTF2H1,244
2071,ERCC3,245
6996,TDG,246
1069,CETN2,247
27258,LSM3,248
4086,SMAD1,249
1643,DDB2,250
6667,SP1,251
3312,HSPA8,252
55729,ATF7IP,253
5914,RARA,254
2113,ETS1,255
4609,MYC,256
6464,SHC1,257
6671,SP4,258
8863,PER3,259
1457,CSNK2A1,260
595,CCND1,261
80063,ATF7IP2,262
5928,RBBP4,263
914,CD2,264
3091,HIF1A,265
6663,SOX10,266
1958,EGR1,267
10291,SF3A1,268
2516,NR5A1,269
57708,MIER1,270
6874,TAF4,271
2100,ESR2,272
3172,HNF4A,273
4208,MEF2C,274
4209,MEF2D,275
3065,HDAC1,276
3066,HDAC2,277
7528,YY1,278
4089,SMAD4,279
4087,SMAD2,280
5591,PRKDC,281
5966,REL,282
9612,NCOR2,283
9611,NCOR1,284
7704,ZBTB16,285
7025,NR2F1,286
5595,MAPK3,287
5594,MAPK1,288
5371,PML,289
6886,TAL1,290
5933,RBL1,291
6256,RXRA,292
3159,HMGA1,293
54880,BCOR,294
7157,TP53,295
1870,E2F2,296
7428,VHL,297
30812,SOX8,298
6721,SREBF2,299
6720,SREBF1,300
26574,AATF,301
2551,GABPA,302
4801,NFYB,303
4800,NFYA,304
1997,ELF1,305
4656,MYOG,306
1051,CEBPB,307
7071,KLF10,308
4654,MYOD1,309
3054,HCFC1,310
5925,RB1,311
1316,KLF6,312
9314,KLF4,313
4487,MSX1,314
5705,PSMC5,315
4846,NOS3,316
51341,ZBTB7A,317
10848,PPP1R13L,318
1871,E2F3,319
836,CASP3,320
1869,E2F1,321
8473,OGT,322
23126,POGZ,323
5813,PURA,324
3064,HTT,325
604,BCL6,326
5451,POU2F1,327
7507,XPA,328
2961,GTF2E2,329
11186,RASSF1,330
29935,RPA4,331
472,ATM,332
6117,RPA1,333
6118,RPA2,334
545,ATR,335
11321,GPN1,336
2067,ERCC1,337
56949,XAB2,338
7341,SUMO1,339
8859,STK19,340
8554,PIAS1,341
79012,CAMKV,342
6919,TCEA2,343
57799,RAB40C,344
114034,TOE1,345
5662,PSD,346
1294,COL7A1,347
284217,LAMA1,348
29066,ZC3H7A,349
649,BMP1,350
2335,FN1,351
25827,FBXL2,352
7057,THBS1,353
1282,COL4A1,354
1277,COL1A1,355
3918,LAMC2,356
3914,LAMB3,357
4313,MMP2,358
92799,SHKBP1,359
3911,LAMA5,360
567,B2M,361
912,CD1D,362
913,CD1E,363
910,CD1B,364
10859,LILRB1,365
909,CD1A,366
3107,HLA-C,367
3106,HLA-B,368
811,CALR,369
3135,HLA-G,370
3134,HLA-F,371
3133,HLA-E,372
2,A2M,373
11098,PRSS23,374
925,CD8A,375
2217,FCGRT,376
3077,HFE,377
3105,HLA-A,378
25936,NSL1,379
79003,MIS12,380
23468,CBX5,381
79980,DSN1,382
3680,ITGA9,383
6303,SAT1,384
3688,ITGB1,385
6696,SPP1,386
5829,PXN,387
7357,UGCG,388
6252,RTN1,389
10313,RTN3,390
487,ATP2A1,391
5350,PLN,392
6588,SLN,393
3667,IRS1,394
8660,IRS2,395
488,ATP2A2,396
6271,S100A1,397
596,BCL2,398
489,ATP2A3,399
3672,ITGA1,400
4146,MATN1,401
1295,COL8A1,402
550,AUP1,403
7094,TLN1,404
5771,PTPN2,405
274,BIN1,406
3673,ITGA2,407
58,ACTA1,408
1278,COL1A2,409
928,CD9,410
4312,MMP1,411
3675,ITGA3,412
11234,HPS5,413
7077,TIMP2,414
